original,log_transform,sqrt_transform,boxcox_transform
7614,8.937875265329263,87.25823743349392,769.3799076056695
7615,8.938006576471201,87.2639673633969,769.4512329090868
7616,8.938137870372788,87.26969691708571,769.5225554454289
7617,8.938269147038548,87.27542609463445,769.5938752151653
7618,8.93840040647301,87.28115489611719,769.6651922187681
7619,8.938531648680692,87.28688332160795,769.736506456706
7620,8.938662873666118,87.29261137118078,769.8078179294502
7621,8.938794081433805,87.29833904490967,769.87912663747
7622,8.938925271988273,87.3040663428686,769.9504325812362
7623,8.939056445334039,87.30979326513149,770.0217357612175
7624,8.939187601475613,87.31551981177229,770.0930361778854
7625,8.939318740417509,87.32124598286491,770.1643338317073
7626,8.939449862164238,87.3269717784832,770.2356287231543
7627,8.93958096672031,87.33269719870101,770.3069208526944
7628,8.93971205409023,87.33842224359219,770.3782102207974
7629,8.939843124278502,87.34414691323055,770.449496827933
7630,8.939974177289633,87.34987120768983,770.5207806745686
7631,8.940105213128122,87.35559512704381,770.5920617611727
7632,8.94023623179847,87.36131867136622,770.6633400882149
7633,8.940367233305174,87.36704184073076,770.7346156561626
7634,8.940498217652733,87.37276463521113,770.8058884654855
7635,8.940629184845639,87.37848705488096,770.877158516651
7636,8.940760134888384,87.38420909981392,770.9484258101257
7637,8.940891067785461,87.38993077008358,771.0196903463801
7638,8.94102198354136,87.39565206576354,771.0909521258789
7639,8.941152882160566,87.40137298692738,771.1622111490918
7640,8.941283763647567,87.40709353364863,771.2334674164863
7641,8.941414628006845,87.41281370600079,771.304720928528
7642,8.941545475242885,87.41853350405736,771.3759716856861
7643,8.941676305360163,87.42425292789181,771.4472196884248
7644,8.941807118363164,87.42997197757758,771.5184649372131
7645,8.941937914256359,87.43569065318808,771.5897074325186
7646,8.942068693044225,87.4414089547967,771.6609471748044
7647,8.942199454731238,87.44712688247682,771.7321841645409
7648,8.942330199321866,87.45284443630179,771.8034184021911
7649,8.942460926820582,87.45856161634491,771.874649888223
7650,8.942591637231851,87.46427842267951,771.9458786231016
7651,8.942722330560143,87.46999485537883,772.0171046072942
7652,8.942853006809921,87.47571091451616,772.0883278412647
7653,8.942983665985647,87.48142660016468,772.1595483254804
7654,8.943114308091785,87.48714191239762,772.2307660604057
7655,8.94324493313279,87.49285685128815,772.3019810465062
7656,8.943375541113124,87.49857141690943,772.3731932842464
7657,8.943506132037239,87.50428560933459,772.444402774093
7658,8.943636705909594,87.50999942863673,772.5156095165091
7659,8.943767262734637,87.51571287488893,772.5868135119603
