,재비산먼지 평균농도(㎍/㎥)
1965,6.0
1966,9.0
1967,4.0
1968,169.20999999999913
1969,10.0
1970,10.0
1971,12.0
1972,16.0
1973,19.0
1974,14.0
1975,13.0
1976,29.0
1977,14.0
1978,9.0
1979,21.0
1980,26.0
1981,163.0
1982,37.0
1983,24.0
1984,13.0
1985,19.0
1986,11.0
1987,6.0
1988,5.0
1989,7.0
1990,12.0
1991,21.0
1992,4.0
1993,10.0
1994,16.0
1995,13.0
1996,41.0
1997,10.0
1998,10.0
1999,11.0
2000,9.0
2001,21.0
2002,6.0
2003,20.0
2004,9.0
2005,15.0
2006,14.0
2007,17.0
2008,25.0
2009,14.0
2010,22.0
2011,34.0
2012,88.0
2013,22.0
2014,34.0
2015,58.0
2016,22.0
2017,100.0
2018,57.0
2019,7.0
2020,6.0
2021,7.0
2022,28.0
2023,6.0
2024,24.0
2025,5.0
2026,42.0
2027,7.0
2028,8.0
2029,4.0
2030,9.0
2031,23.0
2032,5.0
2033,13.0
2034,20.0
2035,53.0
2036,4.0
2037,7.0
2038,71.0
2039,22.0
2040,17.0
2041,29.0
2042,30.0
2043,59.0
2044,51.0
2045,31.0
2046,16.0
2047,22.0
2048,29.0
2049,13.0
2050,28.0
2051,15.0
2052,10.0
2053,60.0
2054,20.0
2055,11.0
2056,7.0
2057,21.0
2058,16.0
2059,13.0
2060,9.0
2061,14.0
2062,16.0
2063,6.0
2064,41.0
2065,16.0
2066,8.0
2067,47.0
2068,14.0
2069,62.0
2070,38.0
2071,49.0
2072,14.0
2073,7.0
2074,22.0
2075,21.0
2076,31.0
2077,11.0
2078,12.0
2079,47.0
2080,24.0
2081,34.0
2082,10.0
2083,34.0
2084,26.0
2085,31.0
2086,20.0
2087,25.0
2088,17.0
2089,11.0
2090,7.0
2091,41.0
2092,13.0
2093,14.0
2094,13.0
2095,9.0
2096,7.0
2097,46.0
2098,33.0
2099,21.0
2100,15.0
2101,40.0
2102,24.0
2103,9.0
2104,19.0
2105,13.0
2106,11.0
2107,12.0
2108,12.0
2109,11.0
2110,43.0
2111,13.0
2112,19.0
2113,27.0
2114,56.0
2115,14.0
2116,15.0
2117,25.0
2118,7.0
2119,47.0
2120,66.0
